sampleId,filename,datasetid
12007,12007_chexmix_peaks.bed,7f8cdd1776e0f7fd
12009,12009_chexmix_peaks.bed,8f9b2a29fe838546
12010,12010_chexmix_peaks.bed,311a65d413e591c3
12011,12011_chexmix_peaks.bed,ff9b13c0f96bcb4a
12012,12012_chexmix_peaks.bed,b2830c4fdac17434
12013,12013_chexmix_peaks.bed,f57f6541f4cfa5e6
12015,12015_chexmix_peaks.bed,117c04d9c77cd525
12018,12018_chexmix_peaks.bed,c4043dd033cbab33
12021,12021_chexmix_peaks.bed,5e3d6d7307323faf
12024,12024_chexmix_peaks.bed,192ade6200726d88
12027,12027_chexmix_peaks.bed,07a242c079cf16f8
12029,12029_chexmix_peaks.bed,d4969bd6ed31ed6e
12032,12032_chexmix_peaks.bed,0cee1ea81a14e056
12033,12033_chexmix_peaks.bed,637edd0b17451d69
12034,12034_chexmix_peaks.bed,753bfc55501775b3
12037,12037_chexmix_peaks.bed,93f3ce2c2acaeb40
12038,12038_chexmix_peaks.bed,6281f8f6ba21cac4
12039,12039_chexmix_peaks.bed,ca5e5ba27fd5d3b7
12040,12040_chexmix_peaks.bed,5453c752943fc330
12050,12050_chexmix_peaks.bed,d56ef453e8fcd515
12051,12051_chexmix_peaks.bed,53f538a556a3e918
12052,12052_chexmix_peaks.bed,2cc5d174dcab1633
12053,12053_chexmix_peaks.bed,35df7250e507d758
12054,12054_chexmix_peaks.bed,d4d19a6c12209e7f
12055,12055_chexmix_peaks.bed,80f371af8c274574
12056,12056_chexmix_peaks.bed,71178337db1b52b2
12059,12059_chexmix_peaks.bed,3d046f1bc51fa3a5
12060,12060_chexmix_peaks.bed,12090b84cdb42956
12064,12064_chexmix_peaks.bed,ef7ab5ba1d16b21d
12065,12065_chexmix_peaks.bed,95a260be9bff1e3d
12066,12066_chexmix_peaks.bed,07b2c0d9e966ecac
12069,12069_chexmix_peaks.bed,6cf58aad71521f3e
12071,12071_chexmix_peaks.bed,421cf1e7efda091c
12074,12074_chexmix_peaks.bed,1969d529bd666eaf
12077,12077_chexmix_peaks.bed,39967adf93f5ebc6
12079,12079_chexmix_peaks.bed,1479ece1fb111f3e
12080,12080_chexmix_peaks.bed,64540fdb8f79721c
12081,12081_chexmix_peaks.bed,f43f06cf9e61225a
12082,12082_chexmix_peaks.bed,524699a7384ffa86
12083,12083_chexmix_peaks.bed,750dcf6119971946
12084,12084_chexmix_peaks.bed,e2a521c16b556f48
12085,12085_chexmix_peaks.bed,1d3045a969154b87
12086,12086_chexmix_peaks.bed,23a7805eb214f22f
12087,12087_chexmix_peaks.bed,4a90098dcc56e08c
12089,12089_chexmix_peaks.bed,3f2f589548e8d319
12090,12090_chexmix_peaks.bed,ed0181c1e0b826d5
12091,12091_chexmix_peaks.bed,7817614ad8b32987
12092,12092_chexmix_peaks.bed,f5234aa9f1658a98
12095,12095_chexmix_peaks.bed,335d7e788e8bd33f
12097,12097_chexmix_peaks.bed,29f46bbd62967247
12099,12099_chexmix_peaks.bed,c53431e21e792991
12100,12100_chexmix_peaks.bed,4472c5ce3c80c35e
12101,12101_chexmix_peaks.bed,e00d6926fccd1389
12102,12102_chexmix_peaks.bed,46f9e8b30eae0aa6
12104,12104_chexmix_peaks.bed,e4bf276fcfaebe86
12106,12106_chexmix_peaks.bed,9e8306a96746b907
12107,12107_chexmix_peaks.bed,268890c76e180ab0
12110,12110_chexmix_peaks.bed,12df899a68e0feb4
12111,12111_chexmix_peaks.bed,35fcb259809773d4
12113,12113_chexmix_peaks.bed,716904c59d7c09e0
12114,12114_chexmix_peaks.bed,21c8d97e7126db6d
12115,12115_chexmix_peaks.bed,fc92aa34b02eb3fe
12116,12116_chexmix_peaks.bed,d0b484968ccd45fb
12117,12117_chexmix_peaks.bed,27d4f4b0b4599292
12119,12119_chexmix_peaks.bed,b44d2b11cfe721ca
12123,12123_chexmix_peaks.bed,761087299f64761f
12124,12124_chexmix_peaks.bed,b4a4b7eb796cf31e
12130,12130_chexmix_peaks.bed,de3eef0472f2e4e7
12132,12132_chexmix_peaks.bed,68740e5003760e54
12134,12134_chexmix_peaks.bed,fb280a1bd7f2f225
12137,12137_chexmix_peaks.bed,76c9e02a45ac6577
12139,12139_chexmix_peaks.bed,b8e9976cce62d6c0
12140,12140_chexmix_peaks.bed,e45b5bdab2aef1f7
12141,12141_chexmix_peaks.bed,393fe16a48eaf845
12275,12275_chexmix_peaks.bed,d5cb5b9a132d09ec
12276,12276_chexmix_peaks.bed,23722d058efc9fb7
12421,12421_chexmix_peaks.bed,f665c521ee1f7aaf
12423,12423_chexmix_peaks.bed,0bbbb4a253a8508e
12424,12424_chexmix_peaks.bed,c66bf71689fc42a9
12425,12425_chexmix_peaks.bed,c8b8a2a12eef8e12
12427,12427_chexmix_peaks.bed,d88fc4dfe2b3471d
12428,12428_chexmix_peaks.bed,563274e6bd347265
12431,12431_chexmix_peaks.bed,1eb6733da0161e6c
12432,12432_chexmix_peaks.bed,8f2fa56d5e7e0cb3
12433,12433_chexmix_peaks.bed,f50e148bce7e4efe
12434,12434_chexmix_peaks.bed,02526a6b45630d45
12435,12435_chexmix_peaks.bed,d513d4d54e22b569
12437,12437_chexmix_peaks.bed,115d26b686cf8197
12438,12438_chexmix_peaks.bed,f22aabc90b7f9745
12441,12441_chexmix_peaks.bed,663f6c623be070d5
12443,12443_chexmix_peaks.bed,dfd08a5f9dbf86e9
12446,12446_chexmix_peaks.bed,24c6fa08f887981e
12447,12447_chexmix_peaks.bed,1cddf3911cf57922
12449,12449_chexmix_peaks.bed,0c15d0baab141706
12450,12450_chexmix_peaks.bed,22ba1fc7f18b11c7
12453,12453_chexmix_peaks.bed,b36349f4aa326fdf
12454,12454_chexmix_peaks.bed,ef760a1b14e52ca7
12455,12455_chexmix_peaks.bed,ff4210c2b2900df9
12457,12457_chexmix_peaks.bed,19426059e54201bb
12458,12458_chexmix_peaks.bed,0da6d97c63aa17b5
12459,12459_chexmix_peaks.bed,f0a2bf20a46b12f3
12461,12461_chexmix_peaks.bed,f82341dfb3511859
12463,12463_chexmix_peaks.bed,d703fb972d9174cd
12464,12464_chexmix_peaks.bed,270ef4cb7595ebed
12465,12465_chexmix_peaks.bed,85f09c6e53cdd010
12466,12466_chexmix_peaks.bed,6046d7ca9731411a
12467,12467_chexmix_peaks.bed,5200c72d21edb189
12470,12470_chexmix_peaks.bed,534fcb7dc5f0cd71
12835,12835_chexmix_peaks.bed,abd08fdcb42135ff
12836,12836_chexmix_peaks.bed,5018ab6a390163f7
12837,12837_chexmix_peaks.bed,e46b324658650b98
12840,12840_chexmix_peaks.bed,ecb71e694eb734df
12841,12841_chexmix_peaks.bed,9680f9bc05516c88
12842,12842_chexmix_peaks.bed,d771ad4d143e09d5
12843,12843_chexmix_peaks.bed,2a44a40965e8e76a
12844,12844_chexmix_peaks.bed,58a4e97688785c5c
12845,12845_chexmix_peaks.bed,552ffb1b6f720916
12846,12846_chexmix_peaks.bed,28f509d5476fa02f
12847,12847_chexmix_peaks.bed,4d26eff12fde3ad9
12849,12849_chexmix_peaks.bed,b138cc755fc936e6
12850,12850_chexmix_peaks.bed,73b81c805ea6d1cd
12851,12851_chexmix_peaks.bed,a3bf0f924ba5f51d
12853,12853_chexmix_peaks.bed,b97413491f43de41
12854,12854_chexmix_peaks.bed,63cbb07ae9613023
12855,12855_chexmix_peaks.bed,3eb0d4432e1b6fae
12856,12856_chexmix_peaks.bed,baf9aa00108bf3a7
12858,12858_chexmix_peaks.bed,33fef266a9f1778f
12860,12860_chexmix_peaks.bed,73d06fb495d2a205
12861,12861_chexmix_peaks.bed,8717eea6ccefaa43
12862,12862_chexmix_peaks.bed,51f4f67f746a11c8
12865,12865_chexmix_peaks.bed,9e6b5dd2eac8933a
12868,12868_chexmix_peaks.bed,132c52aaa36e6168
12869,12869_chexmix_peaks.bed,6c4470fa14602b04
12870,12870_chexmix_peaks.bed,bfeef2b2b099a59e
12871,12871_chexmix_peaks.bed,7831be6f6d7634b9
12872,12872_chexmix_peaks.bed,22197a6e9cd7cbdd
12875,12875_chexmix_peaks.bed,a0c47d72a473f631
12876,12876_chexmix_peaks.bed,162a67fbc4650f65
12877,12877_chexmix_peaks.bed,e035a3918b4905e6
12878,12878_chexmix_peaks.bed,4d9bebb79f21782c
12879,12879_chexmix_peaks.bed,35b619a8fbe1d70b
12931,12931_chexmix_peaks.bed,1b51c72273a43b26
12932,12932_chexmix_peaks.bed,9acd13f5982da919
12933,12933_chexmix_peaks.bed,725d45ee2f1b6a2a
12934,12934_chexmix_peaks.bed,8837751ce3241591
12935,12935_chexmix_peaks.bed,4c43fcf7518a5ac1
12937,12937_chexmix_peaks.bed,b947e018708aeb55
12938,12938_chexmix_peaks.bed,a8f416af9527f3cc
12940,12940_chexmix_peaks.bed,0be7ac3299870ff2
12941,12941_chexmix_peaks.bed,5f5f28f2100bf42b
12942,12942_chexmix_peaks.bed,54dcfc60f5fce97c
12943,12943_chexmix_peaks.bed,e5c3aa67646ad8a6
12944,12944_chexmix_peaks.bed,eef5243c52c5ae8b
12946,12946_chexmix_peaks.bed,4d88ebd787349068
12947,12947_chexmix_peaks.bed,1423bc45f0ae20ee
12949,12949_chexmix_peaks.bed,38ec448e8d68fefd
12950,12950_chexmix_peaks.bed,4a998c4ace829344
12952,12952_chexmix_peaks.bed,0138c8ab0444edeb
13138,13138_chexmix_peaks.bed,e3d25d8aaa38b75e
13139,13139_chexmix_peaks.bed,a32166445ba1327b
13140,13140_chexmix_peaks.bed,f54341b64b2f7a82
13141,13141_chexmix_peaks.bed,6862a14e54b6be61
13142,13142_chexmix_peaks.bed,be8b820c9035c08e
13143,13143_chexmix_peaks.bed,9c9f502b896566fe
13145,13145_chexmix_peaks.bed,c0e542b097c594c0
13146,13146_chexmix_peaks.bed,7310e745edc1a9b0
13147,13147_chexmix_peaks.bed,c4fb1d35fa8d3958
13148,13148_chexmix_peaks.bed,45379befe5449dba
13149,13149_chexmix_peaks.bed,e274641d6f675935
13150,13150_chexmix_peaks.bed,9e55bb691072411d
13153,13153_chexmix_peaks.bed,ddab969994c6e1d1
13154,13154_chexmix_peaks.bed,e2bb372760dea465
